0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,41
,,,,,,,,
,,100,I was Quite a Looker,Fate/Stay Night,"As the years go by, many men and women seem to lose what made them so stunning in their youth. You were lucky in two respects. For one, you aged very gracefully as you grew old. Even if you were a century or more in years, you wouldn't look a day over fifty and a very lovely fifty at that. The second spot of luck you encountered was how you passed down your beauty to your descendants. No matter how distant they are or even if they are only adopted, any of your children or descendants will possess a significant measure of your beauty as it was in its prime and will also age as gracefully as you do.",,,
,,100,Uisce Beatha,Fate/Legends: Land of Shadows,"Your hands have a special property, one of quite a great value to a warrior culture. Any liquid that you scoop up in your hands is granted great healing properties, able to heal any wound of the body or spirit in just seconds of contact, save for the greatest of cursed wounds. Your healing waters can be spread even on spiritual bodies to heal them and the liquids will cleanse away any poison or disease in the area it touches. The closer to pure water the liquid you hold is, the better the effect will be. Trying to use polluted river muck might only clean a few nasty scratches. You can also, should you have the need, prevent liquids you hold from gaining these properties. ",,,
,,100,Synchronization,Generic Nasuverse,"The ability to transfer energy. It operates through the exchange of fluids, such as blood or saliva. But it works best through sexual intercourse.

In truth, anybody can transfer energy through this process if they have the proper training. The benefit of this mutation lies in the sheer efficiency of the transfer.",,,
,,100,Shining Blue Star,Fate - The Island of Sin,"When you’re at your lowest, when despair edges in from all corners and it seems there is nothing worthwhile in the world, you will see this brilliantly shining star. It is hope itself, all the good and beautiful things in this world that are worth living for, worth striving for—and even, should it be truly necessary, worth dying for. 

The light of this star will always revitalize you, even when absolute exhaustion weighs down all your limbs; it will reinvigorate you, letting you put forth just a little bit more effort even if you’ve already used up all your special energies; it will refresh your hope, even when all hope seems lost.",,,
,,100,Unfaltering,Fate/Legends: God Save the Queen,"To follow a mystery even into the depths of the city’s underbelly or save a man’s life as artillery rains down around your head, it takes a spine of sterner stuff than the average man. You’ve got a tenacious mind and an unwavering will, the sort that lets you hold onto a lead like a bulldog or never give up on saving wounded men even after years of watching them die despite your treatments. To some outsiders, the focus you can gain when determined to not give up can even appear as insanity, the only way they can think to explain someone who unhesitatingly runs onto a battlefield to save a stranger’s life under heavy gunfire. 

That inhuman mentality they see as madness can be just what some people need however, as those under your care or protection find their will to survive and fight on grows stronger when you focus your attention on them. When a dying man looks up and sees an angel of the battlefield refusing to give up on him, sometimes that’s all that’s needed to push on.",,,
,,100,Soul Purification,Vasto of White,"With this unique ability, you can purify the souls of hollows, freeing them from their host and sending them to the afterlife. This gift is not limited to regular hollows, as you can also purify the most powerful of hollows, such as Arrancars, Adjuchas, and Vasto Lorde. As you perform the purification, every trapped soul within the hollow is set free, providing them with a peaceful transition into the afterlife.

Furthermore, this ability grants you heightened spiritual perception, allowing you to sense the presence of hollows and souls in your surroundings. You possess the ability to detect impurities within souls, purifying them and liberating them from the burden of their past sins.

The purification process, however, can be mentally and emotionally taxing, leaving you vulnerable to attacks from enemies or other hollows. As such, it requires intense concentration and focus, making it challenging to use in the midst of battle. However, after the jump, you can also purify any damage to the soul, providing a much-needed healing ability to those around you.",,,
,,100,Medical Mage,Fate/Legends: Empires of Antiquity,"Those who use powerful magic often focus on power, personal or in their minions, and rarely do the greats of the magical world look to the ailments of the little folk. Perhaps you can fix it, given your great talent in both mundane medicine of this time, making use of herbs and natural remedies along with the beginnings of more modernised medicine, as well as healing magic. You have a decent amount of magical power, similar to the witch in training above, but your skill is all focused on supporting magic. Healing wounds and sicknesses is quite easy for you and you’ve got experience with all kinds of curses, poisons and supernatural ailments. You’re far from a legend right now but you’ve got a lot of talent for the subject, making improvements easy, and your healing spells are somewhat stronger than normal for the energy you spend. To add to your skill, you also possess a very calming, peaceful demeanour to others that lets others remain calm and destress with just your presence, while easing the passing of those in pain. It also makes you terribly cute, though that itself may be the reason others find you so nice to be around.",,,
,,100,Lone Soul,Vasto of White,"Through the guidance of the Vasto of White, you have gained the ability to connect and share your spiritual energy with others. This perk allows you to channel your own spiritual energy and share it with others, healing them and strengthening their spiritual pressure. This connection can be established with anyone, including allies, enemies, or neutral parties. However, the connection is not permanent and requires your continued presence and focus to maintain.

Furthermore, this perk grants you an increased level of control over your spiritual energy, allowing you to manipulate it to create weapons, shields, or other forms of energy projection. Your spiritual energy can now be used for both offense and defense, giving you an edge in battle. Lastly, this perk grants you a sense of empathy and understanding towards those around you, allowing you to perceive their emotional and spiritual states with greater clarity. This heightened perception can give you an advantage in negotiations and social situations, allowing you to better understand and connect with those around you.",,,
,,100,Miracle of Salvation,The Holy Man of The Church Creek,"The power of love and salvation flows through your being, granting you the ability to bring light and healing to those in need. With the Miracle of Salvation, you possess the capacity to delve into the depths of individuals' pasts, offering them a chance at redemption and healing. By embracing the Father's Love, you can bring forth the memories and experiences that have been buried or suppressed, allowing others to confront their past traumas and find solace.

This power is rooted in the divine system of God, where judgment and sin hold no sway. Your ability to offer forgiveness and understanding is boundless, providing a path to redemption for even the most troubled souls. The Miracle of Salvation transcends boundaries and limitations, as the power of love knows no bounds. When you bestow the Father's Light upon others, they will witness, hear, and feel the direct memories and experiences that have shaped their lives, even those that have long been kept hidden. This revelation can bring about profound healing, helping individuals confront their pasts and find the strength to move forward.",,,
,,150,Healing Arts,Generic Nasuverse,"You now have knowledge of various healing and purification spells. Generally speaking, this will allow you to cure any mundane injury. Even most magical injuries should be something you can handle, since your purification spells can remove the harmful magic and/or curses, then your healing arts can repair the damage. However, genuinely potent/high level curses are beyond the knowledge/ability granted by this perk.",,,
,,200,Tantric Transferer,Fate/Grand Master,"A master’s most basic duty is providing mana for his servants, and while you may not be a skilled magus your magical circuits and the mana you produce are of extremely high quality. You could power an entire harem of servants without straining yourself, and in a pinch you can refuel them quickly via tantric rituals. Your sexual fluids are packed with mana of such quantity and quality that a single load could fill the tanks of a weak servant and a few more will satisfy all but the neediest heroines. This has a curious side effect of making your fluids taste oddly delicious, so don’t be surprised if your partners begin to crave the taste of it after being stuffed full of your essence over and over again.",,,
