0,Perk Name,Cost,Source,Description
1,Soldier Path,250 CP,Grim Dawn,"Soldiers of the imperial army were trained to survive in the most hellish conditions and hold the line against the nastiest enemies of the empire. Soldiers prefer the use of close combat weaponry, such as a sword and shield, but can also prove formidable with firearms. What a Soldier may lack in outright damage output is made up for in fortitude and leadership. You gain starting skills and ability to progress on the path of Soldier Mastery from Grim Dawn game unusually fast."
2,Demolitionist Path,250 CP,Grim Dawn,"Pyrotechnic masters of the imperial army, Demolitionists are part engineer, part sorcerer. They were used to break enemy ranks and breach fortifications with their devastating array of explosives and destructive magic. They usually prefer to fight at range, engaging enemies with guns, traps and explosives but they can also be proficient with melee weapons. You gain starting skills and ability to progress on the path of Demolitionist Mastery from Grim Dawn game unusually fast."
3,Occultist Path,250 CP,Grim Dawn,"Once hunted by imperial forces in an effort to control eldritch power, the Occultist's craft focuses heavily on summoning and borrowed powers granted by the three witch gods"" Bysmiel, Solael and Dreeg. Their diverse arts include abhorrent curses and spells that inflict damage with poison, acid, and entropic energy. Excelling with neither sword nor gun, they can use either to augment their offense."" You gain starting skills and ability to progress on the path of Occultist Mastery from Grim Dawn game unusually fast."
4,Nightblade Path,250 CP,Grim Dawn,"Nightblades were clandestine warriors that sold their services to the great houses of the empire. Nightblades excel with all manner of martial weapons, but are even more feared for the deadly blade magic that is the secret of their trade. Nightblades are not suited to go toe to toe with tougher enemies and rely on illusion to close for quick, devastating attacks or fight from a distance with phantasmal blades. You gain starting skills and ability to progress on the path of Nightblade Mastery from Grim Dawn game unusually fast."
5,Arcanist Path,250 CP,Grim Dawn,"To Arcanists, the manifestation of magic is not some unexplainable mystery or the will of the gods, but a science meant to be unraveled. This pursuit of knowledge drives all Arcanists, always eager to discover a new technique to make their namesake. Arcanists warp the mysterious aether and elements to their will, creating devastating demonstrations of power that rival small armies. However, such raw force leaves little in terms of defense. You gain starting skills and ability to progress on the path of Arcanist Mastery from Grim Dawn game unusually fast."
6,Shaman Path,250 CP,Grim Dawn,"Hailing from the untamed northlands, Shamans were the spiritual leaders and guardians of their people. Claiming an astounding attunement to the wilds and their patron deity Mogdrogen, Shamans are capable of wielding the terrible forces of nature against their foes or even calling upon savage beasts to come to their aid. Shamans excel in the use of brutal two-handed melee weapons, but can easily adapt to other tools of war when conjuring their primal powers. You gain starting skills and ability to progress on the path of Shaman Mastery from Grim Dawn game unusually fast."
7,Inquisitor Path,250 CP,Grim Dawn,"Trained by the secretive Luminari Order, inquisitors were officially sanctioned by the Erulan Emperor to hunt down and eliminate all eldritch and arcane threats to the empire. This dangerous and thankless duty necessitated some unconventional means of combat, including using the powers of their very enemies against them. You gain starting skills and ability to progress on the path of Inquisitor Mastery from Grim Dawn game unusually fast."
8,Necromancer Path,250 CP,Grim Dawn,"Although they primarily engage in the weaving of magic, necromancers are aptly equipped to enter the fray in close quarters, or to weave their death magic into ranged weaponry. Do not for a moment think that a cornered necromancer is easy prey. You gain starting skills and ability to progress on the path of Necromancer Mastery from Grim Dawn game unusually fast."
9,Oathkeeper Path,250 CP,Grim Dawn,"Driven by divine purpose and celestial fire in their hearts, Oathkeepers are a terror to the enemies of humanity. Their wills unbending, their faith their shield. None can withstand the righteous fury of a fully trained Oathkeeper. Oathkeepers may be servants of divine forces, but such forces may not always hold humanity in high regard or be sanctioned by the fallen Erulan Empire. Some Oathkeepers serve dark and corrupted powers, others see salvation in the light of Empyrion; others still believe that the Witch Gods are the only true gods and through their blessing they become a force of change upon Cairn. You gain starting skills and ability to progress on the path of Oathkeeper Mastery from Grim Dawn game unusually fast."
10,Components Creation,200 CP,Grim Dawn,"You are able to produce components from the Grim Dawn game using relatively mundane resources. You also can apply or utilize them on different pieces of equipment to affect their properties or add new ones. This process is quite mysterious, just like the resulting components."
11,Devotion Constellations,50 CP,Grim Dawn,"This perk gives you one devotion point to spend on stars from Grim Dawn constellations, granting you some boons and effects the have. Although they are not the same as in the game, they are inspired by it and warped by the actual meanings and ideas these constellations represent, and your personality, your nature. You have a general knowledge of their lore. Be careful, because this might have some unexpected side effects. 

This perk can be purchased multiple times. You don't have to spend the obtained devotion points - they can be stored indefinitely and used whenever you feel like it. After buying all the stars from all the constellations, you gain the ability to give these points to other people after each purchase of the perk."
12,Consumables Recipes,200 CP,Grim Dawn,"You gain the mental compendium of all recipes, which can be found and collected in the game, to produce consumables and the ability to make them. You only have high skills, deep insight, and mystical powers when creating something from these recipes. However, over time, some mundane or even more supernatural pieces of skills and knowledge might stick to you through the practice of crafting these items."
