100 CP,Coin Purse,The Witcher: Nightmare of the Wolf,"By peasant standards, this is a fortune. It’s enough to live
like a lord for a whole month! Or far longer, with a more frugal lifestyle.",
100 CP,Haggling,Elder Scrolls: Skyrim,"The most essential skill for the world of business is knowing how to haggle a price. How cultures handle haggling can be quite varied, as you may find, and you possess knowledge of standard haggling practices common to the Empire, which have spread all across Tamriel. You are quite clever with words, and very experienced at haggling wares just as much as conditions in a contract. You also have a good instinct for telling when you should stop and not push anymore lest whoever you’re dealing with gets tired of your shit. 
",
100 CP,Welcome Northerners! Who Would Like a Dragon Pot ,Dragonheart,"You know how to recognize an opportunity for profit. You are good at figuring out what upcoming trends in consumer culture will be, or at least early signs of it. You also have basic knowledge and skill in haggling, helping you to set the prices and figure out how to make a good profit.",
100 CP,Wealthy,Harry Potter - Era of the Marauders v2.0,"You have business interests that earn you a large passive income, paid monthly into your accounts, or directly to you.
",
100 CP,Service With a Smile,Pirates of Dark Water,"It doesn’t matter if you’re a bartender, innkeeper, trader, or courtesan—whatever your trade is, you’re an expert at it and have a knack for putting your customers at ease and  making their experience with you a positive one. Not only that, but happy customers will  be much more inclined than normal to speak out about your services and recommend  you to others, ensuring your reputation spreads quickly.",
100 CP,Moogle Badge,Kingdom Hearts,"By wearing this badge you’ll find yourself a little sturdier, and your magic’s a little more potent and plentiful. It can stick to surfaces even though it has no pin, and the wearer can take it off at any time just by trying to do so. If worn on skin, scales, fur etc. it will come off easily without taking anything with it.",
100 CP,Munny Pouch,Kingdom Heart,"This bag, about the size of an apple and shaped like a bottle, transforms all cash placed into it into Munny. Munny is a multi­versal currency and can change into almost any currency simply by exposing it to local money. It transforms based on the local value of funds, so a world in which a dollar gets you a loaf of bread may get you one munny, which may later turn into one gold coin that could be used to buy a loaf of bread in a fantasy world that pays for loaves of bread with gold pieces. In essence this just means your buying power remains the same, you can simply convert your funds into the local monetary system. Do note that this won’t help in worlds that don’t use normal currency such as service based trades or similar systems.",
100 CP,100 Gold Coins ,Dragon Age,"By default, this is the same currency as your chosen starting location’s currency but you may choose another nation’s currency if so desired.",
100 CP,Endless Wallet,Legend of Zelda,"So many clinky shiny rupees for you to find, but so few places to store all of them. No longer, as this pouch can contain any amount of money you collect, regardless of if it's rupees, gold, or paper bills. It will hold them all and never get heavier. It will also convert them into any other types of currency you need at the moment.",
100 CP,Treasure Chamber,The Mummy,"A large, empty room has been added to your Warehouse. While it’s empty right now, when you put valuables inside it the room will expand to hold them, and will even display them in a way that is aesthetically pleasing to you.",
