0 CP,Dragonglass Cache,A Song of Ice and Fire Jumpchain,"A black cloak wrapped around a few obsidian daggers, arrowheads and spearheads."
100 CP,Dragon Treats,House of the Dragon Jumpchain,Made from a mixture of different meats charred together with magic each package will give the correct amount of daily nutrients for a dragon to survive and grow. They will always be tasty and also be eaten by humans.
100 CP,Lingua Valyria ,The Seven Kingdoms ,"Regardless of your upbringing, you are most definitely fluent in both the written and spoken form of the High Valyrian language. Indeed, it is in that tongue that matters of diplomacy are often carried out in the Free Cities and between them and the Sunset Kingdoms. But a mere fluency in a language is hardly a boon, no? Worry not, this gift is so much more than that. Whenever you enter a Jump, you may choose one language with both written and spoken form to be the new “lingua franca” of the setting. While not everyone will be fluent, matters of state and business will be carried out in your tongue of choice and among the elite and scholarly its use is universal. Naturally, you would also be given a full understanding of the language you choose."
100 CP,Political Marriage,House of the Dragon Jumpchain,A discrete clause in the Doctrine of Exceptionalism seems to apply to jumpers and their companions as you are not like other men. You can marry whomever you want no matter the familial relation or gender and all government institutions will consider it lawful. Any children you consider yours will also be without a doubt.
100 CP,Valyrian Steel Dagger,Game Of Thrones - Version 1.201,"You are the proud owner of a Valyrian Steel dagger. Or not. See, this dagger is special beyond just being made of one of the strongest metals on the planet and worth an exorbitant amount of money. Anyone who you try to hoodwink or bamboozle whilst wearing this will be far more likely to believe whatever bullshit you’re spinning. Those with tricky minds, or strong will can break through its effect however."
200 CP,Blackfyre,House of the Dragon Jumpchain,This weapon was wielded by Aegon II Targaryen. It is lighter than the average sword but still every bit as deadly as the usual Valyrian Steel standards. Any who wield this sword can go on for longer periods and find negotiating as a whole less exhausting than without.
200 CP,Dark Sister,House of the Dragon Jumpchain,This weapon was wielded by Daemon Targaryen. It is lighter than the average sword but still every bit as deadly as the usual Valyrian Steel standards. Any who wield this sword can go on for longer periods and find combat as a whole less exhausting than without.
200 CP,Dragonblood ,House of the Dragon Jumpchain,"A descendant of Old Valyria, you have the ability to claim one dragon and ride the beast. You can tolerate higher heat than normal and will be inhumanly beautiful. Common traits of this are light hair (white, platinum, silver or gold) and eyes of blue or purple. You also have a mastery of the Valyrian language and all its dialects."
200 CP,Dragonbone Bow,A Song of Ice and Fire Jumpchain,An exceptionally strong bow made of Dragonbone. Exceptional power and range. Projectiles fired tend to hit where they’d do the most damage by chance very regularly. 
200 CP,Dreamer ,House of the Dragon Jumpchain,"Much rarer than dragon riding, some of House Targaryen have been known to dream of the future. Now when you sleep meaning can be found in the metaphors you see although these dreams should not be taken too literally and you may only see part of the picture."
200 CP,Prince In Exile,A Song of Ice and Fire Jumpchain,People will welcome you as a prince from a foreign land and be amused at your alien ways and customs. You will be welcomed at most courts as a curiosity.
200 CP,Support of the Men ,House of the Dragon Jumpchain,"Say what you will about Daemon Targaryen, but the man instils loyalty in his fighting men. Whether the Gold Cloaks or the Sea Snake’s soldiers, Daemon was beloved by the warriors he fought with. Now you enjoy a similar boost to the loyalty and morale of the soldiers you lead or serve alongside."
200 CP,Valyrian Smithing,Game Of Thrones - Version 1.201,"You have all the skills of a Valyrian Master Smith, able to forge and reforge Valyrian Steel And craft Items of power, particularly those related to dragons or fire."
200 CP,Valyrian Steel Blade ,House of the Dragon Jumpchain,Forged in a style and colour of your choice the metal edge will always be perfectly sharp and feel almost weightless in your hands. Valyrian steel is a higher metal and can harm magical beings like White Walkers and Dragons. If lost or stolen it will return to the sheath or at a property.
