0,Perk Name,Cost,Source,Description
1,Spell: Stone Flow,10 CP,Original,"You've learned a new spell!

Name: Stone Flow
Aspect: 3 Earth + 1 Water
Description: This spell infuses targeted piece/volume of rock in a few seconds of focus. Infused pieces of stone can be shaped like clay by the user's hand or even be made flow akin to a liquid small distance away by user's will. When a spell stops working after some time or when it is dispelled, the stone turns back solid and keeps its new shape. This spell works better at softer rocks: harder the rock - more time it takes to infuse and harder it is to mold."
2,Spell: Glass Staining,10 CP,Original,"You've learned a new spell!

Name: Glass Staining
Aspect: 1 Earth + 1 Light
Description: This spell affects a targeted piece or volume of glass. It alters the internal crystalline structure of the glass to permanently change its color by introducing specific tendencies toward the refraction and absorption of light within the material. It can be used to make a piece of glass red, green, or any relatively simple shade the caster desires. It can also make glass frosted, more opaque, or even produce simple multicolored patterns. However, this spell depends heavily on the skill of the caster. It is easy to simply make glass redder, but much harder to achieve a specific hue or introduce a precise pattern. It takes considerable practice to master."
3,Spell: Concrete Setting,10 CP,Original,"You've learned a new spell!

Name: Concrete Setting
Aspect: 1 Earth + 1 Order
Description: This spell targets mortar, cement, or similar binding materials. It accelerates and refines the setting process, meaning the material turns solid more quickly and with fewer internal imperfections than it would naturally. When the spell takes effect, it produces a small burst of infrared light and a modest amount of waste heat."
4,Enchantment: Cooling Surface Charm,10 CP,Original,"You've learned a new enchantment!

Name: Cooling Surface Charm
Aspect: 3 Air + 1 Order + 1 Water
Description: This enchantment can be applied to a small surface. It persists for a few years, but gradually deteriorates over time and can be broken by severely damaging the enchanted object. When the surface bearing this charm moves through air, it causes the gas in contact with it to cool down by one or two degrees Celsius. The charm cannot bring temperatures lower than 19 degrees Celsius, but it is quite good to have cast on fan blades on a hot day."
5,Spell: Root-Weave Compaction,10 CP,Original,"You've learned a new spell!

Name: Root-Weave Compaction
Aspect: 2 Earth + 2 Life + 1 Water
Description: The caster places their palms flat on bare soil and hums at a low frequency. Over the course of a minute, the spell encourages the dormant seeds and fungal mycelium within the soil to grow at an accelerated, controlled rate. The roots intertwine into a dense, living mat while simultaneously absorbing ambient moisture to swell and fill every void. The result is a section of ground that becomes as hard and load-bearing as packed gravel, but remains permeable to water. The effect is permanent, as the root-mat continues to live and self-repair, though it requires annual ""re-tuning"" to prevent overgrowth or death.
"
6,Spell: Lumicrete Mixture,15 CP,Original,"You've learned a new spell!

Name: Lumicrete Mixture
Aspect: 3 Light + 1 Earth
Description: A dry mortar or concrete powder is piled up and the caster speaks a sustained, resonant word over it. The powder glows faintly for a few moments and then goes dark. When mixed with water and poured, the setting process is accelerated to completion in under an hour (instead of days). More importantly, the crystalline structure of the cured material aligns in such a way that it ""stores"" ambient light. During the day, the surface absorbs sunlight; at night, it emits a soft, moon-like glow equivalent to a well-lit corridor for up to eight hours. It does not produce heat."
7,Spell: Chord of True Level,10 CP,Original,"You've learned a new spell!

Name: Chord of True Level
Aspect: 2 Space + 1 Order
Description: The caster snaps a length of ordinary twine or rope taut between two stakes. They then whisper the spell and flick the twine. A barely-visible ripple of blue-white light travels along the cord, and the twine goes unnaturally rigid. For the next hour, the twine is magically anchored to the planet's gravitational core, making it a perfectly horizontal and vibration-less reference line. This is the surveyor's best friend, used to lay perfectly straight aqueduct channels, set door frames, and pour flawless floors. The twine can be moved and re-anchored, but each re-setting requires a new casting."
8,Spell: Slow-Glass Annealing,10 CP,Original,"You've learned a new spell!

Name: Slow-Glass Annealing
Aspect: 2 Fire + 2 Earth + 1 Time
Description: This spell is cast over a kiln or a sand-smelter right as the molten silica is poured into its molds. Instead of flash-cooling, the spell extends the cooling process over a period of several days, but does so internally, eliminating all thermal stress and micro-fractures. The resulting glass panes are cheap to produce (no fuel for slow cooling ovens) and have the tensile strength of wrought iron. Used to create massive, flawless windows for public buildings, greenhouse panels, and translucent floor-tiles for upper-story walkways. "
9,Spell: Draft-Ward Seal,10 CP,Original,"You've learned a new spell!

Name: Draft-Ward Seal
Aspect: 2 Air + 1 Order
Description: The caster traces the outline of a door, window, or city-gate with their finger, leaving a faint silver tracing. The spell doesn't stop airflow completely, but it equalizes air pressure and temperature between the inside and outside by ""slowing"" the chaotic movement of air particles to a gentle, laminar flow. Ward deteriorates over a few weeks and can be disrupted. "
10,Spell: Miracle of Healing ,25 CP,Original,"You've learned a new spell!

Name: Miracle of Healing (Impure Regeneration) 
Aspect: 1 Light + 1 Healing + 1 Life
Description: This spell produces a small amount of healing light, which can be infused into a living target or projected in a direction to cause rapid regeneration. The spell takes biomass from various tissues in the body in such a way as to cause the least amount of damage, and uses this biomass to heal a variety of wounds. It can even restore eyesight lost due to injury, regenerate parts of damaged organs, and even grow new limbs. However, more intensive effects require prolonged use of the spell or repeated applications. It takes a full week of uninterrupted healing light to grow a new arm - though this time can be broken down into shorter sessions.

Historical Note: This spell was discovered and used by priests of an ancient eastern civilization, who believed it was a revelation from their god of healing. It was used extensively after its discovery, causing the early empire to become a powerful regional force, conquer many neighbors, and elevate the social status of the healing god's priests to great heights. 

Unfortunately (unknown to anyone at the time) the spell carried a terrible hidden cost. Using the Miracle of Healing increased the chances of cancer in subsequent years, and also increased the likelihood of genetic disorders in the offspring of those affected by the healing light. The effect was cumulative: those who bathed in the light more frequently suffered worse consequences later. This caused the civilization to collapse after a few generations.

That said, the spell can still be used safely in moderation. A single application to save a friend from blood loss (transforming a small amount of fat into blood) carries only a tiny increase in cancer risk, far outweighed by the immediate benefit. The danger lies in repeated exposure, especially to the intense regeneration required for major wounds, limbs, or organs."
